단어,빈도수
떡볶이,4
배달,2
나갔던,1
가장,2
음주,2
치여,1
중앙선,2
넘은,2
음주차에,1
음주운전으로,1
오토바이와,1
충돌배달하던,1
배달하던,1
세,1
자녀의,1
아빠,1
토트넘,2
선배,1
클린스만,2
손흥민,3
호골,3
챙겼다,1
축하해,1
쏘니,1
아시아인,1
최초,2
감독,1
골,1
후배,1
손흥민에,1
축하,1
시,1
뉴스일,1
아시아,1
금자탑,1
기온,1
올랐지만,1
바람,1
강해서울,1
도,2
인천,1
민주당,5
초선,1
오영환,4
불출마,3
소방관,1
수험생으로,1
돌아간다,1
정치인,1
한계,1
느껴다시,1
소방관으로,2
선언,1
돌아가겠다,1
불출마여야,1
극한,1
대립,1
책임,1
느낀다,1
봄의,1
전령사,1
황어,1
떼,1
물결물,1
반,2
고기,1
장난치며,1
몰래카메라,1
찍던,1
유튜버결국,1
총,1
맞았다,1
성과가,1
뭐냐고,1
주민도,1
오염수,3
방류,3
반대하더라정다운의,1
뉴스톡,1
창원시,1
후쿠시마,3
원전,1
대책,1
수립하라,1
방문,2
의원들,1
현지,1
주민들도,1
반대,1
공방여,1
빈손,1
귀국,1
국격,1
낮춰,1
야,1
주장,1
믿나,1
고층,1
아파트에,1
쇠구슬,4
날린,1
대유리창,1
곳,1
박살났다,1
부천,2
고층아파트에,1
새총으로,1
발사곳,1
아파트,1
테러,4
잡았다부천,1
용의자,1
정체는,1
부활절에도,2
우크라,4
포격교황,2
전쟁,2
종식,2
교황,1
러시아,2
국민들에게,1
빛을,1
기도한,1
날에도러,1
폭격,1
시각,1
세계,1
부활절에,1
미사일,1
폭격우크라,1
부녀,1
지지율,4
주째,1
국힘,1
리얼미터,3
윤대통령,2
주연속,1
보수층,1
올들어,1
최저중도층,1
이탈에,1
보수층도,1
빠져,1
전주,1
대비,1
하락,1
엠폭스,4
지역감염,1
확산,1
우려,1
적지만명씩,1
꾸준히,1
나올,1
수도,1
국내,2
지역사회,2
감염자,1
나왔다,1
번째,1
발생해외여행력,1
감염,2
지역,1
방역,1
당국,1
비상국외,1
여행,1
이력없어,1
이스라엘,3
국경,3
사이로,3
줄줄이,3
로켓다시,2
불붙은,2
중동,2
화약고,2
로켓포안에선,1
반정부,1
시위종합,1
이스라엘과,1
성지,1
하마스헤즈볼라,1
최고지도자,1
감히,1
본회의서,1
나를,1
질책해시의원,1
끌고,1
나간,1
기자회견,1
열고,1
교회,1
안하겠다,1
년차,1
운명,1
걸렸다친윤,1
낙하산,1
물갈이,1
촉각,1
년정권심판론,1
거야,1
독단론,1
국민의,1
선택은,1
공천사법,1
리스크선거제내년,1
관전,1
포인트는,1
석이라도,1
지면,1
끝장친명비명계,1
수도권,1
생존경쟁,1
잔디,1
상할라,1
축구화,2
신고,1
무대,1
꾸민,1
임영웅최다,1
관중,2
기록까지,1
영웅과,1
함께한,1
이후,1
서울은,1
그다음을,1
준비한다,1
현장쏙,1
임영웅은,1
댄스,1
팬들은,1
교복,1
대신,1
빨강영웅시대,1
건행,1
팬들도,1
완벽했다,1
임영웅,1
축구문화,1
존중,1
당부에,1
화답,1
바흐무트,1
초토화,1
개시,1
우크라이나군,1
사령관,1
밝혀공수특수부대까지,1
총력,1
투입,1
깔끔하게,1
면도한,1
외국인히치하이킹,1
해주실건가요,1
톤,1
간,1
관광객알고,1
보니,1
복수였다,1
서울경제,1
부활절,4
맞아,1
헌법정신,1
지키는,2
게,1
하나님,1
가르침,2
예배서,2
거짓부패로부터,1
자유민주,1
지켜야,2
헌법,1
정신,1
것이,1
하나님의,1
실천,1
영락교회서,1
메시지내,1
이웃의,1
자유,1
이천,1
화재때,1
지사는,1
먹방,1
비판,1
산불,2
골프,1
연습,1
김진태,3
그냥,1
가만히,1
좀,1
내버려,1
달라,1
강원지사,1
때,1
골프는,1
허위보도,1
명예훼손으로,1
고소,1
해명,1
바뀌어연가,1
신청,1
없었다,1
살해하려고,1
샀다경찰,1
인터넷,1
글,1
게시자,3
추적,3
권총으로,2
살해,1
예고경찰,2
죽여,1
나라,1
살리겠다경찰,1
게시글,1
수사,1
살해하겠다,1
탄약,1
